ticker,company,price,date
GLD,NewGold Exchange Traded Fund,"1,970.00",22/10/2020
HAFR,Home Afrika Limited,0.44,22/10/2020
HFCK,Housing Finance Company Limited,3.98,22/10/2020
I&M,I&M Holdings Plc,43.65,22/10/2020
ICDC,Centum Investment Company Limited,18,22/10/2020
JUB,Jubilee Holdings Limited,275,22/10/2020
KAPC,Kapchorua Tea Company Limited,75,22/10/2020
KCB,KCB Bank Kenya Limited,37.25,22/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.24,22/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.23,22/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.75,22/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,22/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,22/10/2020
KQ,Kenya Airways Limited,3.83,22/10/2020
KUKZ,Kakuzi Limited,380,22/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",22/10/2020
LIMT,Limuru Tea Company Limited,400,22/10/2020
LKL,Longhorn Publishers Limited,4.53,22/10/2020
MSC,Mumias Sugar Company Limited,0.28,22/10/2020
NBK,National Bank of Kenya Limited,4.12,22/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,22/10/2020
NIC,NIC Bank Limited,22.9,22/10/2020
NMG,Nation Media Group,15.55,22/10/2020
NSE,Nairobi Securities Exchange Limited,8.4,22/10/2020
OCH,Olympia Capital Holdings Limited,1.92,22/10/2020
ORCH,Kenya Orchards Limited,11.05,22/10/2020
PAFR,Sanlam Kenya Plc,12.5,22/10/2020
PORT,East African Portland Cement Co. Ltd,16,22/10/2020
SASN,Sasini Tea and Coffee Limited,19,22/10/2020
SCAN,ScanGroup Limited,6.7,22/10/2020
SCBK,Standard Chartered Bank Limited,152.25,22/10/2020
SCOM,Safaricom Limited,30.65,22/10/2020
SGL,Standard Group Limited,19.9,22/10/2020
TCL,Trans Century Limited,1.65,22/10/2020
TOTL,Total Kenya Limited,22.85,22/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,16,22/10/2020
UCHM,Uchumi Supermarket Limited,0.3,22/10/2020
UMME,Umeme Limited,7,22/10/2020
UNGA,Unga Group Limited,30.65,22/10/2020
WTK,Williamson Tea Kenya Limited,137.5,22/10/2020
XPRS,Express Kenya Limited,4.5,22/10/2020
ABSA,Absa Bank Kenya Plc,9.5,23/10/2020
ARM,ARM Cement Limited,5.55,23/10/2020
BAMB,Bamburi Cement Limited,23.75,23/10/2020
BAT,British American Tobacco (Kenya) Ltd.,349.25,23/10/2020
BERG,Crown Paints Kenya Limited,41.45,23/10/2020
BKG,Bank of Kigali Group Limited,13.05,23/10/2020
BOC,BOC Kenya Limited,59,23/10/2020
BRIT,Britam Holdings Limited,7.58,23/10/2020
C&G,Car and General (Kenya) Limited,25,23/10/2020
CABL,East African Cables Limited,1.59,23/10/2020
CARB,Carbacid Investments Limited,8.92,23/10/2020
CFC,Stanbic Holdings Limited,81.25,23/10/2020
CFCI,Liberty Kenya Holdings Limited,7.8,23/10/2020
CIC,CIC Insurance Group Limited,2.19,23/10/2020
COOP,Co-operative Bank of Kenya Limited,11.4,23/10/2020
DCON,Deacons (East Africa) Plc,0.45,23/10/2020
DTK,Diamond Trust Bank Kenya Limited,61,23/10/2020
EABL,East African Breweries Limited,157,23/10/2020
EGAD,Eaagads Limited,13.25,23/10/2020
EQTY,Equity Group Holdings Limited,34.35,23/10/2020
EVRD,Eveready East Africa Limited,0.92,23/10/2020
FAHR,STANLIB Fahari Income REIT,5.48,23/10/2020
FIRE,Sameer Africa Limited,3.5,23/10/2020
FTGH,Flame Tree Group Holdings Limited,1.49,23/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",23/10/2020
HAFR,Home Afrika Limited,0.44,23/10/2020
HFCK,Housing Finance Company Limited,3.96,23/10/2020
I&M,I&M Holdings Plc,45,23/10/2020
ICDC,Centum Investment Company Limited,18.45,23/10/2020
JUB,Jubilee Holdings Limited,275,23/10/2020
KAPC,Kapchorua Tea Company Limited,75,23/10/2020
KCB,KCB Bank Kenya Limited,37.05,23/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.12,23/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.21,23/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.82,23/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,23/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,23/10/2020
KQ,Kenya Airways Limited,3.83,23/10/2020
KUKZ,Kakuzi Limited,375,23/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",23/10/2020
LIMT,Limuru Tea Company Limited,400,23/10/2020
LKL,Longhorn Publishers Limited,4.59,23/10/2020
MSC,Mumias Sugar Company Limited,0.28,23/10/2020
NBK,National Bank of Kenya Limited,4.12,23/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,23/10/2020
NIC,NIC Bank Limited,22.75,23/10/2020
NMG,Nation Media Group,15.4,23/10/2020
NSE,Nairobi Securities Exchange Limited,8.14,23/10/2020
OCH,Olympia Capital Holdings Limited,1.92,23/10/2020
ORCH,Kenya Orchards Limited,11.05,23/10/2020
PAFR,Sanlam Kenya Plc,12.05,23/10/2020
PORT,East African Portland Cement Co. Ltd,16,23/10/2020
SASN,Sasini Tea and Coffee Limited,19,23/10/2020
SCAN,ScanGroup Limited,6.7,23/10/2020
SCBK,Standard Chartered Bank Limited,152.75,23/10/2020
SCOM,Safaricom Limited,30.95,23/10/2020
SGL,Standard Group Limited,21.85,23/10/2020
TCL,Trans Century Limited,1.66,23/10/2020
TOTL,Total Kenya Limited,23.35,23/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,15.75,23/10/2020
UCHM,Uchumi Supermarket Limited,0.3,23/10/2020
UMME,Umeme Limited,7.18,23/10/2020
UNGA,Unga Group Limited,30,23/10/2020
WTK,Williamson Tea Kenya Limited,137,23/10/2020
XPRS,Express Kenya Limited,4.5,23/10/2020
ABSA,Absa Bank Kenya Plc,9.5,24/10/2020
ARM,ARM Cement Limited,5.55,24/10/2020
BAMB,Bamburi Cement Limited,23.75,24/10/2020
BAT,British American Tobacco (Kenya) Ltd.,349.25,24/10/2020
BERG,Crown Paints Kenya Limited,41.45,24/10/2020
BKG,Bank of Kigali Group Limited,13.05,24/10/2020
BOC,BOC Kenya Limited,59,24/10/2020
BRIT,Britam Holdings Limited,7.58,24/10/2020
C&G,Car and General (Kenya) Limited,25,24/10/2020
CABL,East African Cables Limited,1.59,24/10/2020
CARB,Carbacid Investments Limited,8.92,24/10/2020
CFC,Stanbic Holdings Limited,81.25,24/10/2020
CFCI,Liberty Kenya Holdings Limited,7.8,24/10/2020
CIC,CIC Insurance Group Limited,2.19,24/10/2020
COOP,Co-operative Bank of Kenya Limited,11.4,24/10/2020
DCON,Deacons (East Africa) Plc,0.45,24/10/2020
DTK,Diamond Trust Bank Kenya Limited,61,24/10/2020
EABL,East African Breweries Limited,157,24/10/2020
EGAD,Eaagads Limited,13.25,24/10/2020
EQTY,Equity Group Holdings Limited,34.35,24/10/2020
EVRD,Eveready East Africa Limited,0.92,24/10/2020
FAHR,STANLIB Fahari Income REIT,5.48,24/10/2020
FIRE,Sameer Africa Limited,3.5,24/10/2020
FTGH,Flame Tree Group Holdings Limited,1.49,24/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",24/10/2020
HAFR,Home Afrika Limited,0.44,24/10/2020
HFCK,Housing Finance Company Limited,3.96,24/10/2020
I&M,I&M Holdings Plc,45,24/10/2020
ICDC,Centum Investment Company Limited,18.45,24/10/2020
JUB,Jubilee Holdings Limited,275,24/10/2020
KAPC,Kapchorua Tea Company Limited,75,24/10/2020
KCB,KCB Bank Kenya Limited,37.05,24/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.12,24/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.21,24/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.82,24/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,24/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,24/10/2020
KQ,Kenya Airways Limited,3.83,24/10/2020
KUKZ,Kakuzi Limited,375,24/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",24/10/2020
LIMT,Limuru Tea Company Limited,400,24/10/2020
LKL,Longhorn Publishers Limited,4.59,24/10/2020
MSC,Mumias Sugar Company Limited,0.28,24/10/2020
NBK,National Bank of Kenya Limited,4.12,24/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,24/10/2020
NIC,NIC Bank Limited,22.75,24/10/2020
NMG,Nation Media Group,15.4,24/10/2020
NSE,Nairobi Securities Exchange Limited,8.14,24/10/2020
OCH,Olympia Capital Holdings Limited,1.92,24/10/2020
ORCH,Kenya Orchards Limited,11.05,24/10/2020
PAFR,Sanlam Kenya Plc,12.05,24/10/2020
PORT,East African Portland Cement Co. Ltd,16,24/10/2020
SASN,Sasini Tea and Coffee Limited,19,24/10/2020
SCAN,ScanGroup Limited,6.7,24/10/2020
SCBK,Standard Chartered Bank Limited,152.75,24/10/2020
SCOM,Safaricom Limited,30.95,24/10/2020
SGL,Standard Group Limited,21.85,24/10/2020
TCL,Trans Century Limited,1.66,24/10/2020
TOTL,Total Kenya Limited,23.35,24/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,15.75,24/10/2020
UCHM,Uchumi Supermarket Limited,0.3,24/10/2020
UMME,Umeme Limited,7.18,24/10/2020
UNGA,Unga Group Limited,30,24/10/2020
WTK,Williamson Tea Kenya Limited,137,24/10/2020
XPRS,Express Kenya Limited,4.5,24/10/2020
ABSA,Absa Bank Kenya Plc,9.4,26/10/2020
ARM,ARM Cement Limited,5.55,26/10/2020
BAMB,Bamburi Cement Limited,24,26/10/2020
BAT,British American Tobacco (Kenya) Ltd.,350,26/10/2020
BERG,Crown Paints Kenya Limited,41.5,26/10/2020
BKG,Bank of Kigali Group Limited,13,26/10/2020
BOC,BOC Kenya Limited,59,26/10/2020
BRIT,Britam Holdings Limited,7.56,26/10/2020
C&G,Car and General (Kenya) Limited,25,26/10/2020
CABL,East African Cables Limited,1.6,26/10/2020
CARB,Carbacid Investments Limited,8.92,26/10/2020
CFC,Stanbic Holdings Limited,80,26/10/2020
CFCI,Liberty Kenya Holdings Limited,7.24,26/10/2020
CIC,CIC Insurance Group Limited,2.16,26/10/2020
COOP,Co-operative Bank of Kenya Limited,11.45,26/10/2020
DCON,Deacons (East Africa) Plc,0.45,26/10/2020
DTK,Diamond Trust Bank Kenya Limited,63.5,26/10/2020
EABL,East African Breweries Limited,153.75,26/10/2020
EGAD,Eaagads Limited,13.25,26/10/2020
EQTY,Equity Group Holdings Limited,34.5,26/10/2020
EVRD,Eveready East Africa Limited,0.97,26/10/2020
FAHR,STANLIB Fahari Income REIT,5.56,26/10/2020
FIRE,Sameer Africa Limited,3.5,26/10/2020
FTGH,Flame Tree Group Holdings Limited,1.49,26/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",26/10/2020
HAFR,Home Afrika Limited,0.45,26/10/2020
HFCK,Housing Finance Company Limited,3.95,26/10/2020
I&M,I&M Holdings Plc,44,26/10/2020
ICDC,Centum Investment Company Limited,18.1,26/10/2020
JUB,Jubilee Holdings Limited,275,26/10/2020
KAPC,Kapchorua Tea Company Limited,75,26/10/2020
KCB,KCB Bank Kenya Limited,36.9,26/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.16,26/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.24,26/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.8,26/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,26/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,26/10/2020
KQ,Kenya Airways Limited,3.83,26/10/2020
KUKZ,Kakuzi Limited,375,26/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",26/10/2020
LIMT,Limuru Tea Company Limited,400,26/10/2020
LKL,Longhorn Publishers Limited,4.51,26/10/2020
MSC,Mumias Sugar Company Limited,0.28,26/10/2020
NBK,National Bank of Kenya Limited,4.12,26/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,26/10/2020
NIC,NIC Bank Limited,22.55,26/10/2020
NMG,Nation Media Group,15.8,26/10/2020
NSE,Nairobi Securities Exchange Limited,8.1,26/10/2020
OCH,Olympia Capital Holdings Limited,1.92,26/10/2020
ORCH,Kenya Orchards Limited,11.05,26/10/2020
PAFR,Sanlam Kenya Plc,12.5,26/10/2020
PORT,East African Portland Cement Co. Ltd,16,26/10/2020
SASN,Sasini Tea and Coffee Limited,19.15,26/10/2020
SCAN,ScanGroup Limited,6.7,26/10/2020
SCBK,Standard Chartered Bank Limited,153.5,26/10/2020
SCOM,Safaricom Limited,30.5,26/10/2020
SGL,Standard Group Limited,21.85,26/10/2020
TCL,Trans Century Limited,1.66,26/10/2020
TOTL,Total Kenya Limited,23.35,26/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,26/10/2020
UCHM,Uchumi Supermarket Limited,0.3,26/10/2020
UMME,Umeme Limited,7.16,26/10/2020
UNGA,Unga Group Limited,30,26/10/2020
WTK,Williamson Tea Kenya Limited,137,26/10/2020
XPRS,Express Kenya Limited,4.5,26/10/2020
ABSA,Absa Bank Kenya Plc,9.4,27/10/2020
ARM,ARM Cement Limited,5.55,27/10/2020
BAMB,Bamburi Cement Limited,23.75,27/10/2020
BAT,British American Tobacco (Kenya) Ltd.,350,27/10/2020
BERG,Crown Paints Kenya Limited,41.5,27/10/2020
BKG,Bank of Kigali Group Limited,13,27/10/2020
BOC,BOC Kenya Limited,59,27/10/2020
BRIT,Britam Holdings Limited,7.6,27/10/2020
C&G,Car and General (Kenya) Limited,25,27/10/2020
CABL,East African Cables Limited,1.55,27/10/2020
CARB,Carbacid Investments Limited,8.52,27/10/2020
CFC,Stanbic Holdings Limited,80,27/10/2020
CFCI,Liberty Kenya Holdings Limited,7.8,27/10/2020
CIC,CIC Insurance Group Limited,2.17,27/10/2020
COOP,Co-operative Bank of Kenya Limited,11.15,27/10/2020
DCON,Deacons (East Africa) Plc,0.45,27/10/2020
DTK,Diamond Trust Bank Kenya Limited,63,27/10/2020
EABL,East African Breweries Limited,153.75,27/10/2020
EGAD,Eaagads Limited,13.25,27/10/2020
EQTY,Equity Group Holdings Limited,34.4,27/10/2020
EVRD,Eveready East Africa Limited,0.97,27/10/2020
FAHR,STANLIB Fahari Income REIT,5.7,27/10/2020
FIRE,Sameer Africa Limited,3.5,27/10/2020
FTGH,Flame Tree Group Holdings Limited,1.48,27/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",27/10/2020
HAFR,Home Afrika Limited,0.44,27/10/2020
HFCK,Housing Finance Company Limited,3.7,27/10/2020
I&M,I&M Holdings Plc,44,27/10/2020
ICDC,Centum Investment Company Limited,18.3,27/10/2020
JUB,Jubilee Holdings Limited,270,27/10/2020
KAPC,Kapchorua Tea Company Limited,80,27/10/2020
KCB,KCB Bank Kenya Limited,36.6,27/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.14,27/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.28,27/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.73,27/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,27/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,27/10/2020
KQ,Kenya Airways Limited,3.83,27/10/2020
KUKZ,Kakuzi Limited,375,27/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",27/10/2020
LIMT,Limuru Tea Company Limited,400,27/10/2020
LKL,Longhorn Publishers Limited,4.7,27/10/2020
MSC,Mumias Sugar Company Limited,0.28,27/10/2020
NBK,National Bank of Kenya Limited,4.12,27/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,27/10/2020
NIC,NIC Bank Limited,22.6,27/10/2020
NMG,Nation Media Group,16.2,27/10/2020
NSE,Nairobi Securities Exchange Limited,8,27/10/2020
OCH,Olympia Capital Holdings Limited,1.92,27/10/2020
ORCH,Kenya Orchards Limited,11.05,27/10/2020
PAFR,Sanlam Kenya Plc,12.5,27/10/2020
PORT,East African Portland Cement Co. Ltd,16,27/10/2020
SASN,Sasini Tea and Coffee Limited,19.6,27/10/2020
SCAN,ScanGroup Limited,6.7,27/10/2020
SCBK,Standard Chartered Bank Limited,158.5,27/10/2020
SCOM,Safaricom Limited,30.6,27/10/2020
SGL,Standard Group Limited,24,27/10/2020
TCL,Trans Century Limited,1.5,27/10/2020
TOTL,Total Kenya Limited,23.35,27/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,27/10/2020
UCHM,Uchumi Supermarket Limited,0.27,27/10/2020
UMME,Umeme Limited,7.2,27/10/2020
UNGA,Unga Group Limited,30,27/10/2020
WTK,Williamson Tea Kenya Limited,139,27/10/2020
XPRS,Express Kenya Limited,4.5,27/10/2020
ABSA,Absa Bank Kenya Plc,9.4,28/10/2020
ARM,ARM Cement Limited,5.55,28/10/2020
BAT,British American Tobacco (Kenya) Ltd.,350,28/10/2020
BERG,Crown Paints Kenya Limited,41.5,28/10/2020
BKG,Bank of Kigali Group Limited,12.5,28/10/2020
BOC,BOC Kenya Limited,59,28/10/2020
BRIT,Britam Holdings Limited,7.8,28/10/2020
C&G,Car and General (Kenya) Limited,23.75,28/10/2020
CABL,East African Cables Limited,1.59,28/10/2020
CARB,Carbacid Investments Limited,8.74,28/10/2020
CFC,Stanbic Holdings Limited,80,28/10/2020
CFCI,Liberty Kenya Holdings Limited,7.82,28/10/2020
CIC,CIC Insurance Group Limited,2.23,28/10/2020
COOP,Co-operative Bank of Kenya Limited,11.15,28/10/2020
DCON,Deacons (East Africa) Plc,0.45,28/10/2020
DTK,Diamond Trust Bank Kenya Limited,62.25,28/10/2020
EABL,East African Breweries Limited,153,28/10/2020
EGAD,Eaagads Limited,13.25,28/10/2020
EQTY,Equity Group Holdings Limited,34.35,28/10/2020
EVRD,Eveready East Africa Limited,0.91,28/10/2020
FAHR,STANLIB Fahari Income REIT,5.68,28/10/2020
FIRE,Sameer Africa Limited,3.29,28/10/2020
FTGH,Flame Tree Group Holdings Limited,1.48,28/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",28/10/2020
HAFR,Home Afrika Limited,0.44,28/10/2020
HFCK,Housing Finance Company Limited,3.88,28/10/2020
I&M,I&M Holdings Plc,44,28/10/2020
ICDC,Centum Investment Company Limited,18,28/10/2020
JUB,Jubilee Holdings Limited,270,28/10/2020
KAPC,Kapchorua Tea Company Limited,80,28/10/2020
KCB,KCB Bank Kenya Limited,36.75,28/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.18,28/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.28,28/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.75,28/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,28/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,28/10/2020
KQ,Kenya Airways Limited,3.83,28/10/2020
KUKZ,Kakuzi Limited,370,28/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",28/10/2020
LIMT,Limuru Tea Company Limited,400,28/10/2020
LKL,Longhorn Publishers Limited,4.66,28/10/2020
MSC,Mumias Sugar Company Limited,0.28,28/10/2020
NBK,National Bank of Kenya Limited,4.12,28/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,28/10/2020
NIC,NIC Bank Limited,22.65,28/10/2020
NMG,Nation Media Group,16.35,28/10/2020
NSE,Nairobi Securities Exchange Limited,8.06,28/10/2020
OCH,Olympia Capital Holdings Limited,1.95,28/10/2020
ORCH,Kenya Orchards Limited,11.05,28/10/2020
PAFR,Sanlam Kenya Plc,12.3,28/10/2020
PORT,East African Portland Cement Co. Ltd,16,28/10/2020
SASN,Sasini Tea and Coffee Limited,19,28/10/2020
SCAN,ScanGroup Limited,6.68,28/10/2020
SCBK,Standard Chartered Bank Limited,154.75,28/10/2020
SCOM,Safaricom Limited,30.6,28/10/2020
SGL,Standard Group Limited,25.3,28/10/2020
TCL,Trans Century Limited,1.6,28/10/2020
TOTL,Total Kenya Limited,24,28/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,28/10/2020
UCHM,Uchumi Supermarket Limited,0.27,28/10/2020
UMME,Umeme Limited,7.2,28/10/2020
UNGA,Unga Group Limited,30,28/10/2020
WTK,Williamson Tea Kenya Limited,136.5,28/10/2020
XPRS,Express Kenya Limited,4.1,28/10/2020
ABSA,Absa Bank Kenya Plc,9.42,29/10/2020
ARM,ARM Cement Limited,5.55,29/10/2020
BAMB,Bamburi Cement Limited,23.95,29/10/2020
BAT,British American Tobacco (Kenya) Ltd.,342,29/10/2020
BERG,Crown Paints Kenya Limited,41,29/10/2020
BKG,Bank of Kigali Group Limited,13,29/10/2020
BOC,BOC Kenya Limited,56.5,29/10/2020
BRIT,Britam Holdings Limited,7.76,29/10/2020
C&G,Car and General (Kenya) Limited,23.75,29/10/2020
CABL,East African Cables Limited,1.58,29/10/2020
CARB,Carbacid Investments Limited,8.74,29/10/2020
CFC,Stanbic Holdings Limited,80,29/10/2020
CFCI,Liberty Kenya Holdings Limited,7.92,29/10/2020
CIC,CIC Insurance Group Limited,2.17,29/10/2020
COOP,Co-operative Bank of Kenya Limited,11.35,29/10/2020
DCON,Deacons (East Africa) Plc,0.45,29/10/2020
DTK,Diamond Trust Bank Kenya Limited,63,29/10/2020
EABL,East African Breweries Limited,153.75,29/10/2020
EGAD,Eaagads Limited,13.25,29/10/2020
EQTY,Equity Group Holdings Limited,34,29/10/2020
EVRD,Eveready East Africa Limited,0.96,29/10/2020
FAHR,STANLIB Fahari Income REIT,5.5,29/10/2020
FIRE,Sameer Africa Limited,3,29/10/2020
FTGH,Flame Tree Group Holdings Limited,1.47,29/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",29/10/2020
HAFR,Home Afrika Limited,0.44,29/10/2020
HFCK,Housing Finance Company Limited,3.91,29/10/2020
I&M,I&M Holdings Plc,44,29/10/2020
ICDC,Centum Investment Company Limited,18.45,29/10/2020
JUB,Jubilee Holdings Limited,270,29/10/2020
KAPC,Kapchorua Tea Company Limited,80,29/10/2020
KCB,KCB Bank Kenya Limited,36.55,29/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.08,29/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.27,29/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.76,29/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,29/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,29/10/2020
KQ,Kenya Airways Limited,3.83,29/10/2020
KUKZ,Kakuzi Limited,370,29/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",29/10/2020
LIMT,Limuru Tea Company Limited,400,29/10/2020
LKL,Longhorn Publishers Limited,4.62,29/10/2020
MSC,Mumias Sugar Company Limited,0.28,29/10/2020
NBK,National Bank of Kenya Limited,4.12,29/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,29/10/2020
NIC,NIC Bank Limited,22.25,29/10/2020
NMG,Nation Media Group,16.35,29/10/2020
NSE,Nairobi Securities Exchange Limited,8.02,29/10/2020
OCH,Olympia Capital Holdings Limited,1.95,29/10/2020
ORCH,Kenya Orchards Limited,11.05,29/10/2020
PAFR,Sanlam Kenya Plc,12.3,29/10/2020
PORT,East African Portland Cement Co. Ltd,16,29/10/2020
SASN,Sasini Tea and Coffee Limited,19.6,29/10/2020
SCAN,ScanGroup Limited,6.7,29/10/2020
SCBK,Standard Chartered Bank Limited,159.25,29/10/2020
SCOM,Safaricom Limited,30.5,29/10/2020
SGL,Standard Group Limited,24,29/10/2020
TCL,Trans Century Limited,1.6,29/10/2020
TOTL,Total Kenya Limited,24.05,29/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,29/10/2020
UCHM,Uchumi Supermarket Limited,0.27,29/10/2020
UMME,Umeme Limited,7.2,29/10/2020
UNGA,Unga Group Limited,30,29/10/2020
WTK,Williamson Tea Kenya Limited,136.5,29/10/2020
XPRS,Express Kenya Limited,4.11,29/10/2020
ABSA,Absa Bank Kenya Plc,9.44,30/10/2020
ARM,ARM Cement Limited,5.55,30/10/2020
BAMB,Bamburi Cement Limited,24,30/10/2020
BAT,British American Tobacco (Kenya) Ltd.,342,30/10/2020
BERG,Crown Paints Kenya Limited,41.5,30/10/2020
BKG,Bank of Kigali Group Limited,12.75,30/10/2020
BOC,BOC Kenya Limited,56.5,30/10/2020
BRIT,Britam Holdings Limited,7.38,30/10/2020
C&G,Car and General (Kenya) Limited,23.75,30/10/2020
CABL,East African Cables Limited,1.59,30/10/2020
CARB,Carbacid Investments Limited,8.5,30/10/2020
CFC,Stanbic Holdings Limited,77,30/10/2020
CFCI,Liberty Kenya Holdings Limited,7.58,30/10/2020
CIC,CIC Insurance Group Limited,2.25,30/10/2020
COOP,Co-operative Bank of Kenya Limited,11.3,30/10/2020
DCON,Deacons (East Africa) Plc,0.45,30/10/2020
DTK,Diamond Trust Bank Kenya Limited,61.25,30/10/2020
EABL,East African Breweries Limited,150.25,30/10/2020
EGAD,Eaagads Limited,13.25,30/10/2020
EQTY,Equity Group Holdings Limited,33.9,30/10/2020
EVRD,Eveready East Africa Limited,0.98,30/10/2020
FAHR,STANLIB Fahari Income REIT,5.5,30/10/2020
FIRE,Sameer Africa Limited,3.1,30/10/2020
FTGH,Flame Tree Group Holdings Limited,1.4,30/10/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",30/10/2020
HAFR,Home Afrika Limited,0.43,30/10/2020
HFCK,Housing Finance Company Limited,3.73,30/10/2020
I&M,I&M Holdings Plc,44,30/10/2020
ICDC,Centum Investment Company Limited,18.3,30/10/2020
JUB,Jubilee Holdings Limited,269.5,30/10/2020
KAPC,Kapchorua Tea Company Limited,80,30/10/2020
KCB,KCB Bank Kenya Limited,36.05,30/10/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5.06,30/10/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.25,30/10/2020
KPLC,Kenya Power & Lighting Co. Limited,1.75,30/10/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,30/10/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,30/10/2020
KQ,Kenya Airways Limited,3.83,30/10/2020
KUKZ,Kakuzi Limited,370,30/10/2020
KURV,Kurwitu Ventures Limited,"1,500.00",30/10/2020
LIMT,Limuru Tea Company Limited,400,30/10/2020
LKL,Longhorn Publishers Limited,4.61,30/10/2020
MSC,Mumias Sugar Company Limited,0.28,30/10/2020
NBK,National Bank of Kenya Limited,4.12,30/10/2020
NBV,Nairobi Business Ventures Ltd,0.71,30/10/2020
NIC,NIC Bank Limited,22.65,30/10/2020
NMG,Nation Media Group,16.2,30/10/2020
NSE,Nairobi Securities Exchange Limited,8.26,30/10/2020
OCH,Olympia Capital Holdings Limited,1.95,30/10/2020
ORCH,Kenya Orchards Limited,11.05,30/10/2020
PAFR,Sanlam Kenya Plc,12.3,30/10/2020
PORT,East African Portland Cement Co. Ltd,16,30/10/2020
SASN,Sasini Tea and Coffee Limited,20,30/10/2020
SCAN,ScanGroup Limited,6.44,30/10/2020
SCBK,Standard Chartered Bank Limited,158.25,30/10/2020
SCOM,Safaricom Limited,30.85,30/10/2020
SGL,Standard Group Limited,25.3,30/10/2020
TCL,Trans Century Limited,1.6,30/10/2020
TOTL,Total Kenya Limited,24.05,30/10/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,30/10/2020
UCHM,Uchumi Supermarket Limited,0.28,30/10/2020
UMME,Umeme Limited,7.16,30/10/2020
